Symbol,Date,LTP,High,Low,Open,Quantity,Turnover
AKPL,2018/03/14,254.0,257.0,249.0,249.0,748.0,189737.0
AKPL,2018/03/13,252.0,252.0,248.0,248.0,435.0,108840.0
AKPL,2018/03/12,250.0,251.0,243.0,252.0,1707.0,420390.0
AKPL,2018/03/11,252.0,265.0,250.0,269.0,5178.0,1299676.0
AKPL,2018/03/07,269.0,271.0,256.0,256.0,717.0,189830.0
AKPL,2018/03/06,261.0,261.0,251.0,252.0,5031.0,1277660.0
AKPL,2018/03/05,255.0,269.0,255.0,269.0,9399.0,2478190.0
AKPL,2018/03/04,273.0,285.0,261.0,285.0,3241.0,872746.0
AKPL,2018/02/28,290.0,301.0,285.0,300.0,8975.0,2586670.0
AKPL,2018/02/27,304.0,310.0,301.0,302.0,2068.0,626708.0
AKPL,2018/02/26,306.0,310.0,305.0,309.0,3368.0,1034240.0
AKPL,2018/02/25,316.0,318.0,312.0,312.0,357.0,112800.0
AKPL,2018/02/22,318.0,320.0,313.0,313.0,1253.0,398407.0
AKPL,2018/02/21,319.0,319.0,313.0,313.0,156.0,49166.0
AKPL,2018/02/20,318.0,329.0,314.0,329.0,2435.0,772218.0
AKPL,2018/02/18,335.0,335.0,335.0,329.0,10.0,3350.0
AKPL,2018/02/15,329.0,333.0,317.0,333.0,3802.0,1241000.0
AKPL,2018/02/14,329.0,329.0,313.0,317.0,5369.0,1695010.0
AKPL,2018/02/12,322.0,322.0,316.0,319.0,2380.0,757525.0
AKPL,2018/02/11,324.0,325.0,315.0,315.0,2621.0,836669.0
AKPL,2018/07/11,261.0,266.0,258.0,259.0,933.0,243457.0
AKPL,2018/07/10,258.0,269.0,257.0,258.0,1384.0,363834.0
AKPL,2018/07/09,263.0,271.0,260.0,268.0,3034.0,805746.0
AKPL,2018/07/08,268.0,281.0,263.0,274.0,4705.0,1277290.0
AKPL,2018/07/05,274.0,274.0,261.0,266.0,4198.0,1128640.0
AKPL,2018/07/04,261.0,266.0,248.0,250.0,1428.0,370130.0
AKPL,2018/07/03,255.0,264.0,252.0,264.0,1738.0,443103.0
AKPL,2018/07/02,263.0,263.0,251.0,259.0,1340.0,347709.0
AKPL,2018/07/01,264.0,266.0,260.0,260.0,3222.0,839350.0
AKPL,2018/06/28,267.0,272.0,265.0,272.0,3924.0,1044450.0
AKPL,2018/06/27,272.0,275.0,265.0,265.0,963.0,262709.0
AKPL,2018/06/26,271.0,276.0,270.0,276.0,1612.0,437970.0
AKPL,2018/06/25,274.0,282.0,270.0,282.0,1110.0,307072.0
AKPL,2018/06/24,282.0,287.0,282.0,287.0,918.0,260089.0
AKPL,2018/06/21,292.0,292.0,277.0,277.0,125.0,35810.0
AKPL,2018/06/20,282.0,285.0,282.0,285.0,596.0,168878.0
AKPL,2018/06/19,286.0,296.0,285.0,296.0,562.0,161986.0
AKPL,2018/06/18,288.0,291.0,281.0,287.0,603.0,172837.0
AKPL,2018/06/17,287.0,300.0,279.0,295.0,756.0,214823.0
AKPL,2018/06/14,292.0,305.0,283.0,283.0,3089.0,916950.0
AKPL,2018/06/13,283.0,290.0,280.0,290.0,523.0,147898.0
AKPL,2018/06/12,290.0,290.0,276.0,281.0,819.0,230196.0
AKPL,2018/06/11,286.0,291.0,280.0,285.0,2101.0,605366.0
AKPL,2018/06/10,290.0,298.0,287.0,294.0,538.0,156690.0
AKPL,2018/06/07,289.0,289.0,282.0,289.0,4339.0,1239840.0
AKPL,2018/06/06,294.0,304.0,289.0,289.0,961.0,283996.0
AKPL,2018/06/04,284.0,289.0,283.0,288.0,1133.0,322353.0
AKPL,2018/06/03,288.0,295.0,281.0,295.0,4620.0,1334400.0
AKPL,2018/05/31,300.0,305.0,294.0,305.0,2706.0,806855.0
AKPL,2018/05/30,304.0,316.0,304.0,310.0,628.0,192882.0
AKPL,2018/05/29,305.0,312.0,305.0,312.0,3234.0,998045.0
AKPL,2018/05/28,315.0,315.0,295.0,300.0,1667.0,517225.0
AKPL,2018/05/27,300.0,306.0,300.0,302.0,3135.0,947546.0
AKPL,2018/05/24,308.0,310.0,300.0,305.0,900.0,274459.0
AKPL,2018/05/23,305.0,309.0,305.0,309.0,881.0,269478.0
AKPL,2018/05/22,309.0,312.0,308.0,308.0,2102.0,651699.0
AKPL,2018/05/21,311.0,312.0,307.0,307.0,840.0,259890.0
AKPL,2018/05/20,311.0,321.0,308.0,315.0,2774.0,862104.0
AKPL,2018/05/17,311.0,326.0,310.0,320.0,2033.0,634538.0
AKPL,2018/05/16,314.0,315.0,306.0,312.0,2397.0,748236.0
AKPL,2018/05/15,311.0,320.0,311.0,320.0,1279.0,399260.0
AKPL,2018/05/14,313.0,317.0,305.0,317.0,1876.0,590265.0
AKPL,2018/05/10,323.0,326.0,314.0,320.0,3467.0,1108390.0
AKPL,2018/05/09,320.0,326.0,315.0,322.0,2692.0,866039.0
AKPL,2018/05/08,322.0,322.0,311.0,315.0,3454.0,1091560.0
AKPL,2018/05/07,312.0,322.0,310.0,314.0,9012.0,2815210.0
AKPL,2018/05/06,314.0,321.0,306.0,318.0,2314.0,733451.0
AKPL,2018/05/03,324.0,335.0,321.0,327.0,5461.0,1787620.0
AKPL,2018/05/02,321.0,325.0,314.0,325.0,963.0,309820.0
AKPL,2018/04/29,325.0,325.0,310.0,316.0,7009.0,2221120.0
AKPL,2018/04/26,316.0,330.0,314.0,329.0,5745.0,1838480.0
AKPL,2018/04/25,334.0,340.0,321.0,327.0,5874.0,1954560.0
AKPL,2018/04/24,333.0,349.0,326.0,337.0,7518.0,2529850.0
AKPL,2018/04/23,343.0,349.0,313.0,336.0,19600.0,6605860.0
AKPL,2018/04/22,330.0,330.0,306.0,300.0,16988.0,5460887.0
AKPL,2018/04/19,300.0,305.0,286.0,296.0,17076.0,5080830.0
AKPL,2018/04/18,291.0,301.0,269.0,269.0,7701.0,2224090.0
AKPL,2018/04/17,274.0,284.0,264.0,265.0,5001.0,1351669.0
AKPL,2018/04/16,265.0,270.0,245.0,245.0,3553.0,935288.0
AKPL,2018/04/15,250.0,250.0,245.0,249.0,793.0,197130.0
AKPL,2018/04/12,249.0,256.0,245.0,245.0,1178.0,297379.0
AKPL,2018/04/11,245.0,248.0,237.0,241.0,645.0,156142.0
AKPL,2018/04/10,245.0,250.0,242.0,245.0,3483.0,853848.0
AKPL,2018/04/09,250.0,271.0,248.0,266.0,6422.0,1651140.0
AKPL,2018/04/08,261.0,261.0,241.0,241.0,3470.0,867232.0
AKPL,2018/04/05,238.0,248.0,236.0,240.0,1888.0,454722.0
AKPL,2018/04/04,236.0,236.0,229.0,229.0,1033.0,238823.0
AKPL,2018/04/03,225.0,230.0,225.0,230.0,446.0,100791.0
AKPL,2018/04/02,227.0,236.0,225.0,236.0,1187.0,270079.0
AKPL,2018/04/01,232.0,235.0,219.0,231.0,2310.0,528348.0
AKPL,2018/03/29,232.0,235.0,223.0,223.0,1353.0,310299.0
AKPL,2018/03/28,223.0,228.0,220.0,228.0,951.0,212479.0
AKPL,2018/03/27,231.0,231.0,212.0,223.0,1880.0,404539.0
AKPL,2018/03/26,227.0,231.0,226.0,231.0,1404.0,318289.0
AKPL,2018/03/22,235.0,237.0,230.0,234.0,2077.0,481819.0
AKPL,2018/03/21,238.0,239.0,233.0,237.0,1483.0,350655.0
AKPL,2018/03/20,241.0,246.0,240.0,245.0,2751.0,665226.0
AKPL,2018/03/19,245.0,253.0,244.0,253.0,1016.0,249843.0
AKPL,2018/03/18,258.0,258.0,250.0,253.0,1337.0,337251.0
AKPL,2018/03/15,258.0,259.0,258.0,259.0,513.0,132854.0
